tag,particle,p0mode,method,weight,energy_GeV,nEvents,bias_mu,reso_sigma,bias_err,reso_err,fit_ok
main_p0ridge,gamma,p0ridge,1,1,9,1000,1.0084,0.0608446,0.0019446,0.00137574,1
main_p0ridge,gamma,p0ridge,1,1,10,1000,1.00285,0.0586999,0.00186749,0.00132118,1
main_p0ridge,gamma,p0ridge,1,1,20,1000,0.996304,0.0436994,0.00139167,0.00098456,1
main_p0ridge,gamma,p0ridge,1,1,30,1000,0.996694,0.035475,0.00112976,0.000799263,1
main_p0ridge,gamma,p0ridge,1,1,40,1000,0.998291,0.0310018,0.000987297,0.000698479,1
main_p0ridge,gamma,p0ridge,2,1,1,1000,0.767492,0.153392,0.00492768,0.00348619,1
main_p0ridge,gamma,p0ridge,2,1,3,1000,0.960726,0.102188,0.00325762,0.00230466,1
main_p0ridge,gamma,p0ridge,2,1,5,1000,0.992929,0.0754721,0.00241828,0.00171086,1
main_p0ridge,gamma,p0ridge,2,1,7,1000,1.0031,0.0711628,0.0022709,0.00160659,1
main_p0ridge,gamma,p0ridge,2,1,9,1000,1.01213,0.0625935,0.00199642,0.0014124,1
main_p0ridge,gamma,p0ridge,2,1,10,1000,1.00954,0.0596906,0.00189805,0.0013428,1
main_p0ridge,gamma,p0ridge,2,1,20,1000,1.0087,0.0441065,0.00140393,0.000993229,1
main_p0ridge,gamma,p0ridge,2,1,30,1000,1.00211,0.0348441,0.00110966,0.000785049,1
main_p0ridge,gamma,p0ridge,2,1,40,1000,0.993763,0.0294889,0.000938166,0.00066372,1
main_p0ridge,neutron,p0ridge,0,0,20.0221,984,1.60351,0.128505,0.00422292,0.00298767,1
main_p0ridge,neutron,p0ridge,0,0,50.0088,988,1.19835,0.120393,0.00395848,0.00280058,1
main_p0ridge,neutron,p0ridge,0,0,100.004,977,1.06855,0.11589,0.00386514,0.00273459,1
main_p0ridge,neutron,p0ridge,0,0,150.003,977,1.02715,0.120791,0.00404894,0.00286464,1
main_p0ridge,neutron,p0ridge,0,0,200.002,980,0.994949,0.12723,0.0042457,0.00300384,1
main_p0ridge,neutron,p0ridge,0,0,300.001,977,0.976348,0.133193,0.00443975,0.00314112,1
main_p0ridge,neutron,p0ridge,1,0,20.0221,984,1.53913,0.347567,0.0111026,0.00785475,1
main_p0ridge,neutron,p0ridge,1,0,50.0088,988,1.29863,0.0994313,0.00526481,0.0237314,1
main_p0ridge,neutron,p0ridge,1,0,100.004,977,1.07081,0.127594,0.00422507,0.00298922,1
main_p0ridge,neutron,p0ridge,1,0,150.003,977,1.03013,0.123114,0.00411985,0.00291481,1
main_p0ridge,neutron,p0ridge,1,0,200.002,980,0.996989,0.125628,0.00419459,0.00296768,1
main_p0ridge,neutron,p0ridge,1,0,300.001,977,0.974828,0.129704,0.0043307,0.00306398,1
main_p0ridge,neutron,p0ridge,2,0,20.0221,984,1.32835,0.190469,0.00618616,0.00437659,1
main_p0ridge,neutron,p0ridge,2,0,50.0088,988,1.20395,0.157454,0.00516311,0.00365284,1
main_p0ridge,neutron,p0ridge,2,0,100.004,977,1.13371,0.135651,0.00450671,0.00318849,1
main_p0ridge,neutron,p0ridge,2,0,150.003,977,1.08787,0.12507,0.00419237,0.00296612,1
main_p0ridge,neutron,p0ridge,2,0,200.002,980,1.03292,0.117128,0.00391953,0.00277308,1
main_p0ridge,neutron,p0ridge,2,0,300.001,977,0.948958,0.0947004,0.00318873,0.00225605,1
main_p0ridge,neutron,p0ridge,0,1,20.0221,984,2.32682,0.121229,0.00397954,0.00281548,1
main_p0ridge,neutron,p0ridge,0,1,50.0088,988,1.44951,0.112883,0.00371158,0.00262591,1
main_p0ridge,neutron,p0ridge,0,1,100.004,977,1.16124,0.108744,0.00362479,0.00256454,1
main_p0ridge,neutron,p0ridge,0,1,150.003,977,1.08007,0.0949742,0.0034003,0.000216376,1
main_p0ridge,neutron,p0ridge,0,1,200.002,980,1.0099,0.118631,0.00395877,0.00280083,1
main_p0ridge,neutron,p0ridge,0,1,300.001,977,0.964746,0.124069,0.00413562,0.00292595,1
main_p0ridge,neutron,p0ridge,1,1,20.0221,984,2.16588,0.548306,0.0174882,0.0123723,1
main_p0ridge,neutron,p0ridge,1,1,50.0088,988,1.41677,0.228625,0.00729201,0.00515886,1
main_p0ridge,neutron,p0ridge,1,1,100.004,977,1.21272,0.0896788,0.00410051,0.00162648,1
main_p0ridge,neutron,p0ridge,1,1,150.003,977,1.068,0.122241,0.00407698,0.00288447,1
main_p0ridge,neutron,p0ridge,1,1,200.002,980,1.0084,0.124415,0.00412657,0.00291953,1
main_p0ridge,neutron,p0ridge,1,1,300.001,977,0.963231,0.121847,0.00406382,0.00287515,1
main_p0ridge,neutron,p0ridge,2,1,20.0221,984,1.82301,0.1929,0.0062552,0.00442542,1
main_p0ridge,neutron,p0ridge,2,1,50.0088,988,1.36828,0.158938,0.00519505,0.00367542,1
main_p0ridge,neutron,p0ridge,2,1,100.004,977,1.1933,0.133301,0.00442374,0.00312978,1
main_p0ridge,neutron,p0ridge,2,1,150.003,977,1.12782,0.104897,0.00373827,0.000189203,1
main_p0ridge,neutron,p0ridge,2,1,200.002,980,1.04723,0.113298,0.00379349,0.0026839,1
main_p0ridge,neutron,p0ridge,2,1,300.001,977,0.950851,0.0942989,0.00316982,0.00224267,1
